title,summary,"Factual Accuracy / Faithfulness: “The summary’s claims are correct and do not invent facts or misattribute statements.”
","Coverage / Salience: The summary captures the article’s main points and most important details, not just trivia.",Coherence / Structure: The summary is well-organized and easy to follow; ideas flow logically,Conciseness: The summary conveys the key points with minimal redundancy or fluff
Optimizing_code_runtime_performance_through_context-aware_retrieval-augmented_generation.pdf,"A UTOPATCH is a context-aware framework that combines retrieval-augmented generation (RAG) with control-flow graph (CFG) analysis to automatically optimize code runtime. It mimics human programmer reasoning through an analogy-driven workflow, leverages historical optimization patterns, and uses in-context prompts to generate optimized code. Central to the method is CFG difference analysis ∆G between original and optimized code, represented as ∆S (structure), ∆F (flow), and ∆C (content), which are fed into LLM prompts together with a single retrieved example Er containing the transformation rationale. The approach retrieves CFG-embedded examples from a vector store and selects the most relevant patch using cosine similarity, formulating a prompt P = {∆G, Ropt, Er} to guide the LLM’s output. Experiments on 1,200 C++ code pairs from IBM CodeNet show improvements in lexical similarity and, notably, a 7.3% reduction in execution time over zero-shot GPT-4o, with strongest gains in code refactoring, memory optimization, and loop optimization. The authors discuss maintainability concerns and future directions (debugging, program repair, broader data), and provide access to data and code via a public repository.",,,,
SecureQwen__Leveraging_LLMs_for_vulnerability_detection_in_python_codebases.pdf,"SecureQwen is a vulnerability detection tool for Python codebases that uses a decoder-only transformer with a 64k token context to classify code sequences into 14 CWEs, including OS Command Injection and SQL Injection. It addresses scalability gaps in manual reviews and traditional static/dynamic analysis by leveraging large language models to capture complex relationships between code tokens. The model is fine-tuned from CodeQwen, featuring 32 decoder layers, 4096-dimensional embeddings, Rotary Positional Embeddings, and a 15-class CWE output. Training data comprise 1.875 million function-level Python snippets from GitHub, Codeparrot, and about 640k synthetic snippets generated by LLMs, covering both real and AI-generated code. Data labeling combined multiple static analysis tools (Bandit, Semgrep, SonarQube, CodeQL, PyLint) with manual review, resulting in the PythonVulnDB dataset with 15+ labels. Evaluation reports F1 scores ranging from 84% to 99%, demonstrating strong performance across both human-written and AI-generated code. The authors position SecureQwen as a robust benchmark for Python vulnerability detection and a tool with potential to significantly enhance software security practices.",,,,
Brite__Bootstrapping_reinforced_thinking_process_to_enhance_language_model_reasoning.pdf,"BRiTE introduces a unified probabilistic framework for LLM reasoning by modeling a latent thinking process Z and an evaluation signal O alongside prompts X and answers Y, allowing automatic generation of high-quality reasoning paths. It bootsraps reasoning in two steps: (i) RL-based generation of rationales that approximate the desired thinking process, and (ii) fine-tuning the base LLM to maximize the joint probability of the rationale and the final answer given X. The authors prove a convergence rate of 1/T under Assumption 3.2 (with a concave objective in RKHS), and they design a reward-shaping approach to convert posterior inference into RL optimization. BRiTE is shown to generalize and unify existing learning paradigms (SFT, RLHF, rejection sampling, RestEM, DPO) within its EM-like two-step procedure. Empirically, BRiTE consistently improves over rejection-sampling baselines on GSM8K, MATH, and code tasks and can match or exceed performance achieved with human-annotated thinking in some cases; BRiTE-DPO also enhances RLHF performance. In larger-scale experiments with bigger datasets, BRiTE yields substantial gains across diverse math benchmarks and exhibits faster, more stable training dynamics. Overall, BRiTE provides a provable, practical framework for automated generation of reasoning processes that enhances LLM reasoning across domains.",,,,
Codei_o__Condensing_reasoning_patterns_via_code_input-output_prediction.pdf,"The article tackles the lack of broad, high-quality supervision for diverse reasoning tasks beyond math and coding by proposing CODE I/O, which condenses reasoning patterns embedded in real code into a code input-output prediction task using natural-language chain-of-thoughts (CoTs). It transforms raw code into executable functions, generates multiple input-output pairs by running the code, and trains models to predict inputs or outputs in natural language, decoupling reasoning from code syntax; it also introduces CODE I/O++, which uses execution feedback for multi-turn revisions to improve reasoning quality. The authors assemble a large-scale dataset (~450k functions, ~3.5M I/O samples) from multiple sources, convert them to a unified format, and synthesize CoTs with a strong open-source model, DeepSeek-V2.5, including a dedicated input generator to ensure non-trivial cases. They employ a two-stage training pipeline (CODE I/O data stage followed by instruction-tuning) and evaluate across 14 benchmarks spanning symbolic, mathematical, scientific, logic, and commonsense reasoning, showing universal gains over baselines; CODE I/O++ further enhances performance through feedback-driven revisions. Ablation studies demonstrate the importance of predicting both inputs and outputs, the preferred data format (query plus reference code with CoT in the response), and the necessity of two-stage training, as well as the positive scaling effects of more data. The results indicate that CODE I/O provides robust, generalizable improvements across model sizes and domains, and the authors make their data and models available on GitHub for reproducibility and further research.",,,,
Can_test_generation_and_program_repair_inform_automated_assessment_of_programming_projects_.pdf,"- The study investigates whether automated test generation (EvoSuite and an open LLM, Qwen2.5) and program repair (ARJA-e and LLM-based repairs) can support automated assessment of a real-world, multi-file Java project with 296 incorrect submissions.  
- Results show generated tests are generally insufficient to detect bugs compared with educator-written tests, identifying bugs in over 50% of cases less often, with only about 2% of cases where generated tests are equivalent or superior.  
- For program repair, off-the-shelf traditional repair (ARJA-e) fully repairs only around 2–2.3% of submissions, partially repairs about 6%, and LLM-based repairs (Qwen2.5) yield similar or slightly better partial repair rates but far fewer fully repaired submissions.  
- When using a reference solution and an incremental, method-level repair approach, repair effectiveness improves somewhat but remains limited, with full repairs remaining a small fraction and partial repairs comprising a larger share.  
- The authors conclude that current test generation and program repair tools are not yet adequate for automated assessment of complex programming assignments, and they offer practical guidelines and considerations for educators to better leverage these tools.  
- The study highlights key limitations (multi-file, nuanced functionality, and cross-method interactions) and suggests that more advanced techniques are needed to meaningfully support automated grading and feedback for intermediate/advanced programming projects.",,,,
Can_LLMs_Reason_About_Program_Semantics__A_Comprehensive_Evaluation_of_LLMs_on_Formal_Specification_Inference.pdf,"FormalBench is introduced as a large-scale benchmark to evaluate LLMs on formal specification inference for Java/JML, comprising FormalBench-Base (700 manually validated programs) and FormalBench-Diverse (6,219 semantic-preserving variants) to test robustness. The task requires synthesizing complete and consistent formal specifications, with consistency checked by deductive verification and completeness proxied by mutation testing. Across eight LLMs, zero-shot performance is around 10% success, with few-shot prompts boosting success and reducing failures (up to ~7 percentage points in SR and ~17 points in FR), while least-to-most prompting helps some models but loops remain particularly challenging. The study finds substantial robustness issues: semantic-preserving transformations yield flip rates of 27.2%–39.2%, showing models rely heavily on syntax rather than true semantic understanding. Common failures include syntax errors, incorrect postconditions, faulty loop invariants, and weak arithmetic reasoning; self-repair prompts can raise verifiable specifications by about 25% and reduce failures by up to ~40%, with mutation-based repair offering additional but costly gains. The authors conclude that current LLMs have limited capability to reason about program semantics, especially for complex control flow, but identifying failure patterns and applying tailored prompting can help, and they release FormalBench as an Apache 2.0 library to spur future research.",,,,
SnipGen__A_Mining_Repository_Framework_for_Evaluating_LLMs_for_Code.pdf,"SnipGen is a framework for mining GitHub code to create robust, prompt-augmented testbeds for evaluating large language models on software engineering tasks, while aiming to reduce data contamination. It mined about 227,000 data points from 338,000 recent Python commits, extracting method-level snippets and enriching them with features from the AST, code metrics, documentation, vulnerabilities (via CodeQL), and allowed mutations. Each data point is paired with prompt templates that enable single-step and multi-step tasks across code completion, commit generation, and code summarization, using eight templates and combinations to form CoT-style prompts. The pipeline includes data collection with PyDriller, deduplication, AST parsing with Tree-sitter, vulnerability tagging, and prompt generation, with manual validation of docstrings and code to ensure meaningful context. SnipGen produces testbeds for six SE tasks, yielding thousands of prompts and data points, and has been used in case studies like Galeras, SyntaxEval, and ASTxplainer to assess prompt engineering and model behavior. The authors emphasize SnipGen as a means to create dynamic, less-contaminated benchmarks that complement existing datasets, and note future work to broaden language support, add more SE tasks, and rank data points by complexity or other relevance metrics.",,,,
SWIFTCODER__Enhancing_Code_Generation_in_Large_Language_Models_through_Efficiency-Aware_Fine-tuning.pdf,"EFFICODER is a framework that fine-tunes large language models to improve both the correctness and efficiency of code generation, using a new dataset called EFFIINSTRUCT of high-quality, efficient code. The dataset is built by collecting tasks from nine open-source sources, generating multiple candidate solutions with several LLMs, and selecting the most efficient solution via local execution measurements of time and memory. EFFIINSTRUCT contains 65,710 tasks across Python, C++, Java, Rust, and Go, and analyses show that efficient solutions achieve substantially lower execution time and memory usage than inefficient ones. The authors fine-tune eight LLMs on EFFIINSTRUCT and evaluate on multiple benchmarks (EffiBench, HumanEvalPlus/MBPPPlus, DS-1000, EvoEval, HumanEval-X), reporting significant gains in both efficiency (ET, MU, TMU) and correctness (pass@1). For example, Qwen2.5-Coder-7B-Instruct’s pass@1 on EffiBench rises from 44.8% to 57.7% and average execution time drops by about 48.4%. EFFICODER also outperforms baselines like PIE and Mercury, benefits from multilingual support and large-scale training data, and the authors plan to open-source models, data, and code to advance research and enable deployment in resource-constrained settings.",,,,
Investigating_Execution-Aware_Language_Models_for_Code_Optimization.pdf,"The paper investigates whether teaching language models to understand code execution at run-time (via line executions, line coverage, branch coverage, and variable states) can improve automatic code optimization. It introduces three training strategies (execution-aware pre-training + fine-tuning, execution-aware pre-training with masked LM, and execution-aware fine-tuning) and twelve models derived from CodeT5+ across four execution aspects, evaluated against a CodeT5+ baseline. The study uses the PIE dataset for optimization tasks and collects execution traces with gdb, encoding execution information into tokens for model learning. Evaluation on the PIE test set shows that execution-aware models generally underperform the baseline in correctness, speedup, and percent optimized; only execution-aware fine-tuning on line executions (LES3) offers a small, non-significant improvement. Line coverage occasionally yields the best results among execution-aware approaches, but still does not beat the baseline, while branch coverage and variable states consistently degrade performance. Overall, the findings suggest that incorporating run-time execution information, as implemented here, does not reliably enhance code optimization with current methods, though the authors provide replication data for future work.",,,,
Opencoder__The_open_cookbook_for_top-tier_code_large_language_models.pdf,"OpenCoder is an entirely open-source code LLM that provides weights, inference code, and a fully reproducible data and training pipeline to advance transparent research in code AI. It introduces RefineCode, a 960B-token pretraining corpus combining raw code and code-related web data, with aggressive file-level deduplication, multi-tier filtering, copyright/PII removal, and language balancing to yield about 730B pretraining tokens. During annealing, it adds Algorithmic Corpus and synthetic high-quality data to further refine capabilities while preserving the original data distribution (84%), including self-contained code snippets and code textbooks. The model family includes OpenCoder-1.5B (24 layers) and OpenCoder-8B (32 layers) with SwiGLU activations and RoPE embeddings, trained via Megatron-LM on large GPU clusters. The training workflow employs a two-stage instruction tuning (theoretical CS QA first, then practical code tasks) and strict decontamination to avoid test data leakage. Empirical results show OpenCoder-1.5B and 8B outperform prior fully open models at similar scales and achieve competitive performance with proprietary models on benchmarks such as HumanEval, MBPP, BigCodeBench, LiveCodeBench, and MultiPL-E, supported by a comprehensive open release that acts as a reproducible cookbook for code LLM research.",,,,
Syncmind__Measuring_agent_out-of-sync_recovery_in_collaborative_software_engineering.pdf,"SyncMind defines and measures agent out-of-sync recovery in collaborative software engineering, formalizing out-of-sync states (knowledge gaps, state mismatch, and task failure) and two recovery modes (independent and collaborative) plus resource-aware constraints. SyncBench provides a large, real-world benchmark: 24,332 out-of-sync instances from 21 GitHub repos, with an evaluation subset of 300 (150 Caller, 150 Callee) and executable tests. Experiments across seven LLMs show substantial capability gaps, with collaboration generally improving recovery but agents exhibiting low willingness to seek help; an oracle-like collaborator upper bound indicates much higher potential. Successful recovery hinges on accurate localization and efficient root-cause analysis, and while more complex tasks are tougher, collaboration yields larger gains on harder tasks. Resource awareness is limited, as extending recovery time or budgets yields only modest improvements and changing collaboration costs has minimal effect. The study concludes that advancing CSE requires stronger collaboration initiative, better communication strategies, and more adaptive, resource-aware recovery capabilities.",,,,
Investigating_Reproducibility_Challenges_in_LLM_Bugfixing_on_the_HumanEvalFix_Benchmark.pdf,"This study analyzes reproducibility challenges in LLM bugfixing on the HumanEvalFix benchmark by re-evaluating 12 models across four families (DeepSeekCoder, CodeGemma, CodeLlama, WizardCoder) in various sizes and tunings. They found 35 unique reported results across studies but could reproduce only 12, highlighting substantial inconsistencies likely due to differing evaluation setups. Key factors driving differences include confusing base vs. instruction-tuned variants, prompt templates, and maximum generation length; decoding strategy also matters, with 4-bit quantization significantly reducing performance, while precision and 8-bit quantization have smaller effects. Through a thorough grid search and analysis of GitHub issues, they show misconfigurations such as wrong prompts, incorrect model variants, or too short generation lengths explain many discrepancies. They propose a standardized evaluation checklist (consistent precision, avoid quantization, use author-recommended prompts, greedy decoding or enough samples, adequate generation length, exact model naming/version, and transparent evaluation details) to improve reproducibility. They conclude that reproducibility problems extend to other benchmarks like MBPP and stress careful reporting of evaluation settings and model variants for reliable model comparisons.",,,,
Ctibench__A_benchmark_for_evaluating_llms_in_cyber_threat_intelligence.pdf,"CTIBench is a CTI-focused benchmark designed to evaluate how well large language models handle cyber threat intelligence tasks. It comprises five tasks and datasets: CTI-MCQ (CTI knowledge questions), CTI-RCM (mapping CVE to CWE), CTI-VSP (predicting CVSS v3 base metrics), CTI-ATE (extracting MITRE ATT&CK techniques), and CTI-TAA (threat actor attribution). The study evaluates five LLMs—GPT-4, GPT-3.5, Gemini-1.5, LLAMA-70B, and LLAMA-8B—using zero-shot prompts. Results show GPT-4 generally outperforms others across tasks, Gemini-1.5 leads in CTI-VSP, and LLAMA-70B is competitive on several tasks while LLAMA-8B lags; knowledge cutoffs also reveal reliance on memorization for some tasks like CTI-TAA. The authors argue that CTIBench reveals strengths and weaknesses of current models in CTI and provides a public dataset and code base to accelerate CTI research and incident-response automation. Limitations include scope, language (English-only), and potential for misuse, with future work aiming to broaden tasks and multilingual evaluations.",,,,
SECURE__Benchmarking_Large_Language_Models_for_Cybersecurity.pdf,"Answer:
The paper presents SECURE, a cybersecurity-focused benchmark to evaluate LLMs’ reliability in ICS-relevant scenarios, assessing knowledge extraction, understanding, and reasoning across six datasets (MAET, CWET, KCV, VOOD, RERT, CPST). These datasets draw from MITRE ATT&CK, CWE, CVEs (2024), and CISA advisories to test memory-based retrieval, comprehension of contextual information, and complex risk/solution reasoning. Seven state-of-the-art LLMs (both open and closed) are evaluated across tasks using metrics like accuracy, ROUGE-L, and MAD, with a Retrieval-Augmented Generation variant also explored. Results show closed models (notably ChatGPT-4 and Gemini-Pro) generally outperform open models, especially on extraction and understanding tasks, while VOOD highlights the benefits of robust out-of-distribution detection. The study also finds that prompting for step-by-step reasoning can improve performance at the cost of higher inference time, indicating model-specific calibration needs. Finally, the authors validate data quality, discuss limitations, and release the benchmark datasets and framework publicly to promote domain-specific evaluation of cyber-advisory LLMs.",,,,
Kernelbench__Can_llms_write_efficient_gpu_kernels_.pdf,"KernelBench is an open-source framework that evaluates whether language models can generate fast and correct GPU kernels for 250 real-world PyTorch workloads, ranging from single operations to full architectures. It defines a fastp metric (the fraction of tasks that are correct and speed up execution over a PyTorch baseline by a threshold p), focusing on p = 1 to assess practical improvements. Across one-shot baselines, frontier models perform poorly, with less than 20% of tasks faster than the baseline and many kernels suffering execution or correctness errors. The study finds that while LMs can sometimes propose algorithmic optimizations (fusion, tiling, memory management), hardware-specific gains are rare and generalization across GPUs is limited. Importantly, leveraging execution and profiler feedback in iterative refinement dramatically boosts performance and correctness, e.g., certain models reach 72% fastp at Level 2 with feedback, and some tasks exceed 90% correctness within 10 refinement turns. Repeated sampling also helps, though results depend on the base model, and hardware-aware prompts provide limited consistent gains. Overall, KernelBench shows substantial room for improvement but demonstrates clear potential for LM-assisted kernel generation when combined with feedback, better data, and alternative tooling beyond CUDA.",,,,
Why_Personalizing_Deep_Learning-Based_Code_Completion_Tools_Matters.pdf,"The article investigates whether fine-tuning deep learning–based code completion models to an organization’s or a developer’s code base improves performance. It evaluates two model families (T5 small/large and Code Llama 7B) across two organizations (Apache and Spring) and top developers, using developer-specific and organization-specific datasets derived from real commits. Baselines are generic models trained on broad public code, and performance is measured with Exact Match and CrystalBLEU, with careful time-based data splits to avoid leakage. The study finds that organization-specific fine-tuning consistently boosts performance across models and organizations, while developer-specific gains are present but limited by data availability. Moreover, organization-specific models can achieve similar completion quality to much larger generic models, implying significant cost savings. A cost-effectiveness analysis shows that a small, personalized T5 model can match the performance of a tenfold larger generic model. Overall, the work concludes that personalization—especially at the organization level—meaningfully improves code-completion tools and can reduce deployment and inference costs.",,,,
Repairbench__Leaderboard_of_frontier_models_for_program_repair.pdf,"RepairBench is a leaderboard for AI-driven program repair that evaluates frontier models in a frequent, standardized, and execution-based manner. It uses two real-world benchmarks, Defects4J v2 and GitBug-Java, containing executable tests and ground-truth human patches to verify patches beyond syntactic matching. The evaluation metrics are Plausible@1 (test-suite-based correctness) and AST Match@1 (syntactic similarity), with Plausible@1 serving as the default ranking metric. The methodology standardizes prompts (zero-shot, single-function bugs, non-iterative) and requires the model to return the repaired function inside a code block extracted from the first code snippet. RepairBench targets frontier models accessible via APIs under a defined cost cap and publicly shares prompts, patches, and code to enable reproducibility, with plans to add SWE-Bench in a future update. The authors also address benchmark leakage and argue that execution-based evaluation provides a robust measure of repair capability, aiming to track progress in program repair over time.",,,,
Harnessing_Large_Language_Models_for_Curated_Code_Reviews.pdf,"The paper shows that large code review datasets are noisy, with uncivil, irrelevant, and unclear comments that hinder AI-driven code review. It introduces an evaluation framework in which a large language model acts as a judge to categorize comments by Type, Nature, and Civility and to score them on Relevance, Clarity, and Conciseness. The authors then build CuRev, a curated code-review dataset by filtering out low-relevance comments (threshold <4) and reformulating the rest with Llama-3.1-70B to improve civility, clarity, and conciseness, resulting in 170,718 samples that are 100% civil and more prescriptive and clearer than the original. They demonstrate that cu ration shifts comments toward more actionable guidance and improves data quality, with curated comments being more useful for downstream tasks. In downstream experiments, models fine-tuned on CuRev achieve a 46% improvement in BLEU for automated comment generation and a 22% improvement in CodeBLEU for automated code refinement compared to models trained on the original data. The paper concludes that automated data curation substantially enhances LLM performance for code-review tasks, and provides access to the dataset and replication materials.",,,,
Coding_Agents_with_Multimodal_Browsing_are_Generalist_Problem_Solvers.pdf,"OpenHands-Versa is a generalist AI agent built on the OpenHands framework, combining coding, multimodal web browsing, and information access as its core capabilities. It enhances OpenHands with a visual browser using Set-of-Marks prompts, a browsing condenser to trim observations, and API-based web search (Tavily/Exa/Brave) to access up-to-date information and avoid CAPTCHAs. The approach relies on a single agent with broad tools for writing and debugging code, browsing, searching, and processing multimodal files, without domain-specific sub-agents. Across three benchmarks—GAIA, SWE-Bench Multimodal, and The Agent Company—it achieves state-of-the-art or competitive results, outperforming prior open-source baselines by notable margins. The authors argue that simple, generalist tool sets can generalize better than complex multi-agent systems tailored to individual domains. They also discuss limitations such as CAPTCHA barriers, potential hallucinations from search summaries, loops, and incomplete tests, supported by CPU-only experiments with Claude backbones.",,,,
DeepCodeGraph__A_Language_Model_for_Compile-Time_Resource_Optimization_Using_Masked_Graph_Autoencoders.pdf,"DeepCodeGraph (DCG) is a graph-based language model designed to optimize compile-time resource decisions for heterogeneous hardware, pre-trained with a Masked Graph Autoencoder (MGAE). It leverages a large DCG dataset (~100k graph samples of OpenCL/C/C++/LLVM-IR code) and uses an extended ProGraML graph with BACK edges to capture data dependencies. The MGAE pre-training masks random nodes (with dynamic and complex masking) and learns to reconstruct them via a node-token classification objective, assisted by a momentum-based target network to stabilize training. After pre-training, DCG is fine-tuned on two tasks: heterogeneous device mapping and thread block size prediction, combining graph representations with small auxiliary inputs and passing them through an MLP classifier. DCG achieves state-of-the-art performance among graph-based models, with average DevMap accuracy around 0.87 across devices and LS-CAT top-3 accuracy around 0.19, outperforming previous methods by about 3%. The work demonstrates that MGAE-pretrained graph LMs provide transferable, effective representations for compile-time optimization, and it introduces a large, diverse LLVM-IR–based dataset to support this approach.",,,,
Search-based_llms_for_code_optimization.pdf,"SBLLM is a framework that treats code optimization as a search problem by integrating large language models (LLMs) with evolutionary search to iteratively discover more efficient optimization methods. It has three core modules: (1) execution-based representative sample selection using fitness (accuracy and speedup) to pilot generation; (2) adaptive optimization pattern retrieval that uses BM25-based similarity and fine-grained AST-diff patterns to provide targeted hints; and (3) GO-COT prompting that employs crossover and mutation-inspired reasoning to combine optimization methods. The process starts from initial seed optimizations and repeats sampling, pattern retrieval, and LLM prompting until convergence, guiding LLMs toward better solutions. Experiments on the PIE dataset (Python and C++) across CodeLlama, Gemini, ChatGPT, and GPT-4 show SBLLM outperforms baseline prompting methods in both correctness and speedup, with notable gains up to around 209% speedups on Python. Ablation studies indicate each component contributes meaningfully, with pattern retrieval and GO-COT prompting being especially impactful. Overall, SBLLM demonstrates that a search-based, iterative refinement approach can yield significantly faster and correct code compared to traditional one-shot prompting methods.",,,,
LLM-KG-Bench_3_0__A_compass_for_semantic_technology_capabilities_in_the_ocean_of_LLMs.pdf,"LLM-KG-Bench 3.0 is an open-source framework for automated evaluation of Large Language Models on Semantic Web and Knowledge Graph Engineering tasks, featuring a major update to its Task API and extensible task set. It includes RDF-focused tasks (RDF syntax repair, RDF analytics, fact extraction, and graph relations) and SPARQL tasks across multiple serializations (Turtle, JSON-LD, RDF/XML, N-Triples), with encrypted task data to prevent leakage. The framework provides modular task classes, a prompt-answer-evaluate loop, and multiple LLM connectors (OpenAI, Google Gemini, Anthropic Claude, vLLM) for broad model support. It was used to evaluate 30+ open and proprietary LLMs, generating a large dataset and model cards, and to visualize results with capability compass plots across dimensions like brevity, RDF syntax, RDF analytics, and SPARQL syntax/semantics. It also offers built-in analytics, score aggregation, and statistical comparisons (e.g., format preferences between Turtle and JSON-LD). The authors emphasize its focus on KG-related tasks as a complement to existing leaderboards and publish the code and results openly (GitHub and Zenodo). Future work targets adding new tasks and deeper analyses to broaden model coverage and evaluation tooling.",,,,
Context-aware_prompting_for_LLM-based_program_repair.pdf,"This paper tackles the limitations of traditional APR and DL-based methods by using context-aware prompting with large language models (LLMs) to improve repair effectiveness. The authors introduce CodeCorrector, which follows a developer-like Chain-of-Thought: it infers a repair direction from the failure message, selects repair-direction–relevant context (local and global), and generates patches via adaptive prompts. Local context completion enriches the buggy function, while global context selection uses an AST-derived candidate repository to pick direction-specific context and reduce noise. Patch generation employs iterative prompts and a validate loop that compiles and tests patches, feeding back errors and stopping when a plausible patch passes tests and is semantically examined. On Defects4J v1.2 and v2.0, CodeCorrector fixes 87 out of 255 bugs and 63 out of 228 bugs respectively, including 14 and 24 unique bugs that no baseline could fix, outperforming state-of-the-art baselines such as ChatRepair and GAMMA. Ablation studies show that repair directions and global context selection substantially contribute to its performance, with large improvements over base LLMs (GPT-3.5 and GPT-4). The work demonstrates that adaptive, context-aware prompting can significantly boost LLM-based automated program repair, and the authors provide public code for replication.",,,,
LogUpdater__Automated_Detection_and_Repair_of_Specific_Defects_in_Logging_Statements.pdf,"The article identifies four factual defects in logging statements—statement-code inconsistency, static-dynamic inconsistency, temporal relation inconsistency, and readability issues—and shows these defects account for a substantial portion of log-centric commits through a pilot study across 641 GitHub Java repositories. It proposes LogUpdater, a two-stage framework that offline trains a similarity-based detector on synthetic defective statements and online detects and automatically updates defective logs. Defective statements are synthesized using three mutation strategies: word-level edits for readability, tense changes for temporal issues, and LLM-driven semantic mutations for code-semantic mismatches. In the online phase, a defect-type classifier guides an LLM-based updater, with a checker vetting updates and a BM25-based retrieval of past log changes to provide context-aware, project-sensitive repairs. The framework is evaluated on three datasets, achieving a 0.625 F1 in defect detection, with notable improvements in static text and dynamic variable updates (48.12% and 24.90%), and a 61.49% success rate on new projects, with 25 of 40 proposed changes merged across 11 projects. The authors also open-source their code, prompts, and datasets to support reproducibility.",,,,
Just-in-time_detection_of_silent_security_patches.pdf,"- The paper tackles the problem of silent security patches in open-source software, which often lack advisories and can lead to n-day attacks if not detected promptly. 
- It introduces llmda, a multi-modal framework that augments patches with LLM-generated explanations and fuses code, descriptions, and instructions to improve security relevance detection. 
- The approach centers on three components: (1) LLM-generated explanations to provide semantic context, (2) PT-Former to align and fuse multi-modal embeddings across local and global contexts, and (3) stochastic batch contrastive learning (SBCL) to refine decision boundaries. 
- Patch representations are built from CodeT5+ for code and LLaMa-7b for text, with an instruction embedding and cross-attention to align modalities, producing a unified patch embedding for classification. 
- Evaluations on PatchDB and SPI-DB against strong baselines (e.g., GraphSPD, TwinRNN, GPT, CodeT5, VulFixMiner) show state-of-the-art performance, with LLmda achieving higher AUC, accuracy, F1, and recall, including up to a 42% improvement in F1 over GraphSPD. 
- Ablation studies and cross-dataset experiments demonstrate the contributions of the explanations, PT-Former, and SBCL, and indicate good generalization across diverse OSS ecosystems.",,,,
INDICT__Code_generation_with_internal_dialogues_of_critiques_for_both_security_and_helpfulness.pdf,"INDICT introduces a dual-critic framework for code generation, featuring a safety-driven critic and a helpfulness-driven critic that autonomously generate grounded critiques using external knowledge, code snippets, web search, and code interpreters. The two critics collaborate with the code-generating actor, revising outputs conditioned on the critiques to improve safety and usefulness. The system applies both preemptive feedback (during initial generation) and post-hoc feedback (after execution), integrating execution results to further refine the code. Across 8 tasks in 8 languages and models from 7B to 70B parameters, INDICT achieves consistent improvements in safety and helpfulness, reaching state-of-the-art safety on multiple benchmarks and strong gains in usefulness. Ablation studies show that both critics and external tools are essential, with preemptive safety contributing notably and the combination yielding the best overall performance. The approach generalizes to open-ended tasks beyond code, and the authors provide code and demonstrate robustness across varying model sizes.",,,,
ObscuraCoder__Powering_Efficient_Code_LM_Pre-Training_Via_Obfuscation_Grounding.pdf,"The authors argue that Code-LMs struggle to disentangle syntactic and semantic aspects of code and face a data bottleneck, motivating obfuscation-based grounding as a new pre-training objective. They introduce ObscuraX, a ~55 million pair dataset of source code and obfuscated code across seven languages, and ObscuraCoder, a family of Code-LMs trained with a bidirectional translation objective between source and obfuscated code plus standard language-modeling on unpaired data. Obfuscation renames identifiers to generic tokens (e.g., VAR_n, FUNC_n, CLASS_n) and, in about 25% of samples, obfuscates imports to improve API understanding, with two sentinel tokens facilitating translation in either direction. The models are evaluated on CodeXGLUE defect detection, ReCode robustness, BigCodeBench library-oriented generation, Multipl-E multilingual completion, and CommitChronicle summarization. Results show consistent gains over vanilla autoregressive LMs, with larger benefits as model size increases, and ObscuraCoder often matching or beating frontier models on several tasks, especially in zero-shot settings. Compared to DOBF, ObscuraCoder generally performs better across the board, underscoring the value of end-to-end obfuscation-grounded pre-training. Overall, the work demonstrates that obfuscation-based pre-training improves both syntactic and semantic code understanding and enhances multilingual and API-focused capabilities, offering a data-efficient path forward for Code-LMs.",,,,
ELABORATION__A_Comprehensive_Benchmark_on_Human-LLM_Competitive_Programming.pdf,"ELABORATION is a comprehensive benchmark for Human-LLM competitive programming that introduces a four-stage taxonomy of human feedback (problem comprehension, solution planning, code generation, and debugging) and ELABORATIONSET, a dataset of 8,320 Codeforces/AtCoder problems annotated to support large-scale simulated and real-human feedback. It enables evaluation of human-LLM collaboration across the entire programming process, using both LLM-based simulators and real participants. Findings show that LLMs alone struggle, especially on unseen or hard problems, but human feedback across stages substantially improves performance, with coding-stage guidance yielding the largest gains (though at higher token cost) and planning-stage feedback offering potential cost-effectiveness. A real-human debugging study shows that humans dramatically improve bug identification and resolution, boosting Pass@1 by a substantial margin compared to automatic debugging. The authors provide open-source resources (dataset and code) and discuss limitations, including prompt sensitivity and domain specificity to competitive programming. They conclude that ELABORATION offers a robust foundation for evaluating and guiding future improvements in human-LLM collaboration for programming tasks.",,,,
UCP__a_unified_framework_for_code_generation_with_pseudocode-based_multi-task_learning_and_reinforcement_alignment__Y__Wen_et_al_.pdf,"The article presents UCP, a unified framework that improves open-source language models for code generation by using pseudocode as a structured intermediate representation. It introduces PoT (Pseudocode-of-Thought), a set of tasks that generate pseudocode before code, bridging natural language and programming languages and enabling six aligned tasks: Text2Code, Text2Multilingual Code, PoT, Code2Pseudocode, Unit Test, and Code Completion. The framework combines a dynamic loss-balanced multi-task joint fine-tuning strategy with SimPO-based reinforcement learning and a cyclic self-filling inference to maintain alignment across pre-training, fine-tuning, RL, and inference. Datasets are built with pseudocode-augmented data and multi-granular code completion data, with pseudocode exposure enhancing interpretability for tools like AI-powered IDEs. Experiments on Qwen2.5-Coder-7B-Instruct show improvements over baselines, e.g., HumanEval pass@1 rising from 84.15 to 87.80 and LiveCodeBench pass@1 from 25.4 to 27.2. The framework aims to boost code generation capabilities of open-source LLMs and supports cross-language, multi-task coding with practical benefits for developers.",,,,
